GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,CategoryService,2,186,3,15,0,40,3,19,0,13
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,FinancialGoalService,0,50,0,6,0,13,0,7,0,4
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,UserService,13,74,0,6,2,14,2,8,2,5
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,ThymeleafTemplateService,19,0,0,0,6,0,2,0,2,0
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,ChartService,39,172,1,5,8,36,3,8,2,6
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,CsvService,9,218,3,11,2,47,3,7,0,3
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,PdfExportService,0,39,0,0,0,11,0,3,0,3
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.service,TransactionService,4,289,7,23,0,63,7,23,0,15
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.initializer,DataInitializer,0,47,0,2,0,15,0,3,0,2
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas,ControleFinancasApplication,8,0,0,0,3,0,2,0,2,0
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.exception,BudgetExceededException,0,4,0,0,0,2,0,1,0,1
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.model,User,3,72,0,0,1,27,1,15,1,15
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.model,FinancialGoal,3,35,0,0,1,15,1,10,1,10
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.model,Transaction,0,90,0,2,0,38,0,20,0,19
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.model,Category,0,144,0,0,0,48,0,20,0,20
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.model,UserRole,0,15,0,0,0,3,0,1,0,1
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.model,TransactionType,0,15,0,0,0,3,0,1,0,1
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.config,SecurityConfig,110,0,0,0,22,0,8,0,8,0
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.controller,ExportController,118,142,2,0,18,33,2,2,1,2
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.controller,UserController,0,121,0,2,0,33,0,8,0,7
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.controller,ChartController,40,0,0,0,11,0,3,0,3,0
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.controller,ImportController,0,37,0,2,0,12,0,3,0,2
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.controller,TransactionController,0,153,0,2,0,39,0,8,0,7
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.controller,ResumeController,0,117,2,2,0,29,2,3,0,3
Archetype - com.trabalho.controlefinancas,com.trabalho.controlefinancas.controller,CategoryController,0,93,0,4,0,29,0,8,0,6
